RENGLON;CLAVE;CLAVE_ENT;NOM_ENT;MUN;SEXO;AÑO;EDAD_QUIN;POB
15761;19039;19;Nuevo León;Monterrey;Mujeres;2015;pobm_00_04;38795
15762;19039;19;Nuevo León;Monterrey;Mujeres;2016;pobm_00_04;38129
15763;19039;19;Nuevo León;Monterrey;Mujeres;2017;pobm_00_04;37346
15764;19039;19;Nuevo León;Monterrey;Mujeres;2018;pobm_00_04;36589
15765;19039;19;Nuevo León;Monterrey;Mujeres;2019;pobm_00_04;35881
15766;19039;19;Nuevo León;Monterrey;Mujeres;2020;pobm_00_04;35251
15767;19039;19;Nuevo León;Monterrey;Mujeres;2021;pobm_00_04;34735
15768;19039;19;Nuevo León;Monterrey;Mujeres;2022;pobm_00_04;34361
15769;19039;19;Nuevo León;Monterrey;Mujeres;2023;pobm_00_04;34089
15770;19039;19;Nuevo León;Monterrey;Mujeres;2024;pobm_00_04;33925
15771;19039;19;Nuevo León;Monterrey;Mujeres;2025;pobm_00_04;33877
15772;19039;19;Nuevo León;Monterrey;Mujeres;2026;pobm_00_04;33951
15773;19039;19;Nuevo León;Monterrey;Mujeres;2027;pobm_00_04;34149
15774;19039;19;Nuevo León;Monterrey;Mujeres;2028;pobm_00_04;34482
15775;19039;19;Nuevo León;Monterrey;Mujeres;2029;pobm_00_04;34966
15776;19039;19;Nuevo León;Monterrey;Mujeres;2030;pobm_00_04;35605
55073;19039;19;Nuevo León;Monterrey;Hombres;2015;pobm_00_04;40035
55074;19039;19;Nuevo León;Monterrey;Hombres;2016;pobm_00_04;39436
55075;19039;19;Nuevo León;Monterrey;Hombres;2017;pobm_00_04;38790
55076;19039;19;Nuevo León;Monterrey;Hombres;2018;pobm_00_04;38185
55077;19039;19;Nuevo León;Monterrey;Hombres;2019;pobm_00_04;37617
55078;19039;19;Nuevo León;Monterrey;Hombres;2020;pobm_00_04;37125
55079;19039;19;Nuevo León;Monterrey;Hombres;2021;pobm_00_04;36705
55080;19039;19;Nuevo León;Monterrey;Hombres;2022;pobm_00_04;36377
55081;19039;19;Nuevo León;Monterrey;Hombres;2023;pobm_00_04;36152
55082;19039;19;Nuevo León;Monterrey;Hombres;2024;pobm_00_04;36045
55083;19039;19;Nuevo León;Monterrey;Hombres;2025;pobm_00_04;36048
55084;19039;19;Nuevo León;Monterrey;Hombres;2026;pobm_00_04;36182
55085;19039;19;Nuevo León;Monterrey;Hombres;2027;pobm_00_04;36438
55086;19039;19;Nuevo León;Monterrey;Hombres;2028;pobm_00_04;36840
55087;19039;19;Nuevo León;Monterrey;Hombres;2029;pobm_00_04;37385
55088;19039;19;Nuevo León;Monterrey;Hombres;2030;pobm_00_04;38086
