RENGLON;CLAVE;CLAVE_ENT;NOM_ENT;MUN;SEXO;AÑO;EDAD_QUIN;POB
10929;21114;21;Puebla;Puebla;Mujeres;2015;pobm_00_04;65144
10930;21114;21;Puebla;Puebla;Mujeres;2016;pobm_00_04;64415
10931;21114;21;Puebla;Puebla;Mujeres;2017;pobm_00_04;63555
10932;21114;21;Puebla;Puebla;Mujeres;2018;pobm_00_04;62649
10933;21114;21;Puebla;Puebla;Mujeres;2019;pobm_00_04;61738
10934;21114;21;Puebla;Puebla;Mujeres;2020;pobm_00_04;60843
10935;21114;21;Puebla;Puebla;Mujeres;2021;pobm_00_04;60013
10936;21114;21;Puebla;Puebla;Mujeres;2022;pobm_00_04;59254
10937;21114;21;Puebla;Puebla;Mujeres;2023;pobm_00_04;58547
10938;21114;21;Puebla;Puebla;Mujeres;2024;pobm_00_04;57892
10939;21114;21;Puebla;Puebla;Mujeres;2025;pobm_00_04;57325
10940;21114;21;Puebla;Puebla;Mujeres;2026;pobm_00_04;56807
10941;21114;21;Puebla;Puebla;Mujeres;2027;pobm_00_04;56372
10942;21114;21;Puebla;Puebla;Mujeres;2028;pobm_00_04;56013
10943;21114;21;Puebla;Puebla;Mujeres;2029;pobm_00_04;55765
10944;21114;21;Puebla;Puebla;Mujeres;2030;pobm_00_04;55614
34273;21114;21;Puebla;Puebla;Hombres;2015;pobm_00_04;67810
34274;21114;21;Puebla;Puebla;Hombres;2016;pobm_00_04;67115
34275;21114;21;Puebla;Puebla;Hombres;2017;pobm_00_04;66318
34276;21114;21;Puebla;Puebla;Hombres;2018;pobm_00_04;65497
34277;21114;21;Puebla;Puebla;Hombres;2019;pobm_00_04;64653
34278;21114;21;Puebla;Puebla;Hombres;2020;pobm_00_04;63793
34279;21114;21;Puebla;Puebla;Hombres;2021;pobm_00_04;62967
34280;21114;21;Puebla;Puebla;Hombres;2022;pobm_00_04;62192
34281;21114;21;Puebla;Puebla;Hombres;2023;pobm_00_04;61466
34282;21114;21;Puebla;Puebla;Hombres;2024;pobm_00_04;60798
34283;21114;21;Puebla;Puebla;Hombres;2025;pobm_00_04;60192
34284;21114;21;Puebla;Puebla;Hombres;2026;pobm_00_04;59653
34285;21114;21;Puebla;Puebla;Hombres;2027;pobm_00_04;59207
34286;21114;21;Puebla;Puebla;Hombres;2028;pobm_00_04;58837
34287;21114;21;Puebla;Puebla;Hombres;2029;pobm_00_04;58561
34288;21114;21;Puebla;Puebla;Hombres;2030;pobm_00_04;58397
